"","index","switch_nets","switch_irs","NET_type","intervention","prev_1_yr_post","prev_2_yr_post","prev_3_yr_post","cases_averted","reduction_in_prevalence","relative_reduction_in_prevalence","relative_reduction_in_cases","cases_per_person_3_years","uncertainty","total_costs","total_cases_averted","population_zone1","zone"
"247495",984,0,0,1,"No intervention",17.3034175,31.3138333333333,33.2142833333333,0,0,0,0,0.942411666666667,"mean",0,0,140506,1
"247498",984,0,0.8,1,"IRS only",6.34489916666667,5.09185333333333,5.22912583333333,2.54708673333333,27.9851575,0.842563942119279,0.907645350479604,0.0933827555555556,"mean",2107590,357880.968553733,140506,1
"247561",984,0.7,0,1,"Pyrethroid LLIN only",17.3469258333333,30.784375,32.27155,0.0933753333333334,0.942733333333337,0.0283833712102776,0.0200851691788764,0.911286555555555,"mean",351510.8855,13119.7945853333,140506,1
"247562",984,0.7,0,2,"Pyrethroid-PBO LLIN only",13.5372108333333,27.6926083333333,32.754075,0.326947416666667,0.460208333333334,0.0138557357602678,-0.027705449562559,0.833429194444444,"mean",410096.033083333,45938.0737261667,140506,1
"247567",984,0.7,0.8,1,"Pyrethroid LLIN with IRS",6.65499083333333,5.82676333333333,5.8958425,2.521105225,27.3184408333333,0.822490750716183,0.896427819120902,0.102043258333333,"mean",2459100.8855,354230.41074385,140506,1
"247568",984,0.7,0.8,2,"Pyrethroid-PBO LLIN with IRS",6.18733083333333,5.6128425,5.15682583333333,2.53874345,28.0574575,0.844740716468869,0.895310053757774,0.09616385,"mean",2517686.03308333,356708.6871857,140506,1
"138625",65,0,0,1,"No intervention",59.1193416666667,58.5734666666667,59.3247,0,0,0,0,0.782001913888889,"mean",0,0,14050,2
"138626",65,0,0.6,1,"IRS only",45.99815,35.865175,34.7025333333333,1.61576755,24.6221666666667,0.415040727836241,0.621927646763197,0.243412730555556,"mean",210750,22701.5340775,14050,2
"138691",65,0.7,0,1,"Pyrethroid LLIN only",50.6363166666667,49.2998666666667,53.4269666666667,0.603669151666667,5.89773333333333,0.0994144653632186,0.00170621746179711,0.580778863333333,"mean",35149.5875,8481.55158091667,14050,2
"138692",65,0.7,0,2,"Pyrethroid-PBO LLIN only",46.23575,45.099625,50.7041083333333,0.793255959166667,8.62059166666667,0.145312014500986,0.00899912591437313,0.517583260833333,"mean",41007.8520833333,11145.2462262917,14050,2
"138693",65,0.7,0.6,1,"Pyrethroid LLIN with IRS",44.3588,35.229875,35.10135,1.62682024916667,24.22335,0.408318120445615,0.611550002319318,0.2397284975,"mean",245899.5875,22856.8245007917,14050,2
"138694",65,0.7,0.6,2,"Pyrethroid-PBO LLIN with IRS",41.7508416666667,32.959875,33.3678833333333,1.68719253583333,25.9568166666667,0.437538102454234,0.620248829667369,0.219604401944444,"mean",251757.852083333,23705.0551284583,14050,2
"333679",1200,0,0,1,"No intervention",14.4257858333333,26.8847416666667,28.3126416666667,0,0,0,0,0.827083916666667,"mean",0,0,1406,3
"333680",1200,0,0.6,1,"IRS only",6.522515,8.5811325,8.41808583333333,1.94952309166667,19.8945558333333,0.70267395277198,0.772002632068404,0.177242886111111,"mean",21090,2741.02946688333,1406,3
"333745",1200,0.7,0,1,"Pyrethroid LLIN only",14.0237166666667,25.89485,28.1502083333333,0.0840112500000001,0.162433333333336,0.00573713096946982,0.012355419637809,0.799080166666667,"mean",3517.4605,118.1198175,1406,3
"333746",1200,0.7,0,2,"Pyrethroid-PBO LLIN only",10.4837033333333,22.63205,27.1951583333333,0.3191145,1.11748333333334,0.039469412515081,-0.0150959534171318,0.720712416666667,"mean",4103.70391666667,448.674987000001,1406,3
"333747",1200,0.7,0.6,1,"Pyrethroid LLIN with IRS",6.622275,8.35291083333333,8.98027916666667,1.93211876666667,19.3323625,0.682817333953001,0.7665149880438,0.183044327777778,"mean",24607.4605,2716.55898593333,1406,3
"333748",1200,0.7,0.6,2,"Pyrethroid-PBO LLIN with IRS",5.8610625,7.995935,8.57326833333333,1.96665609166667,19.7393733333333,0.697192920594658,0.766642812311737,0.171531886111111,"mean",25193.7039166667,2765.11846488333,1406,3
"333451",1198,0,0,1,"No intervention",13.3245908333333,26.462325,29.5548916666667,0,0,0,0,0.782991805555556,"mean",0,0,240506,4
"333452",1198,0,0.6,1,"IRS only",6.33613,8.81245916666667,10.4827033333333,1.80738291666667,19.0721883333333,0.645314100570492,0.762902256574471,0.180530833333333,"mean",3607590,434686.435755833,240506,4
"333517",1198,0.7,0,1,"Pyrethroid LLIN only",6.36419333333333,14.5695833333333,21.6447,1.02029069166667,7.91019166666667,0.267644075839673,0.236036102195596,0.442894908333333,"mean",601685.8855,245386.033089983,240506,4
"333518",1198,0.7,0,2,"Pyrethroid-PBO LLIN only",5.08451166666667,10.1511491666667,18.394025,1.33037501666667,11.1608666666667,0.377631790789286,0.337221663984477,0.339533466666667,"mean",701966.866416667,319963.173758433,240506,4
"333519",1198,0.7,0.6,1,"Pyrethroid LLIN with IRS",5.12012,7.125495,8.81616666666667,1.926681175,20.738725,0.701701946124542,0.793894179131566,0.140764747222222,"mean",4209275.8855,463378.38267455,240506,4
"333520",1198,0.7,0.6,2,"Pyrethroid-PBO LLIN with IRS",4.03707583333333,4.66713,6.54318,2.02849515833333,23.0117116666667,0.778609237557122,0.830555282297646,0.106826752777778,"mean",4309556.86641667,487865.256550117,240506,4
"63271",484,0,0,1,"No intervention",29.0008333333333,30.509225,32.3498083333333,0,0,0,0,0.689653013888889,"mean",0,0,14032,5
"63272",484,0,0.6,1,"IRS only",20.3941583333333,12.5088991666667,11.1677391666667,1.6414207425,21.1820691666667,0.654781906229738,0.799226649500664,0.142512766388889,"mean",210480,23032.41585876,14032,5
"63313",484,0.5,0,1,"Pyrethroid LLIN only",24.4274166666667,23.5910333333333,26.8125166666667,0.600706371666667,5.53729166666667,0.171169226401908,0.121334816692007,0.489417556666667,"mean",35104.556,8429.11180722667,14032,5
"63314",484,0.5,0,2,"Pyrethroid-PBO LLIN only",21.917725,20.1594916666667,25.2717333333333,0.825595114166667,7.078075,0.218798050580928,0.166173215718779,0.4144546425,"mean",40955.3153333333,11584.7506419867,14032,5
"63315",484,0.5,0.6,1,"Pyrethroid LLIN with IRS",19.7722166666667,12.0845766666667,10.4984816666667,1.64577896333333,21.8513266666667,0.675470050440793,0.802499887151409,0.141060026111111,"mean",245584.556,23093.5704134933,14032,5
"63316",484,0.5,0.6,2,"Pyrethroid-PBO LLIN with IRS",18.9301666666667,10.848715,10.2320508333333,1.69881431583333,22.1177575,0.683705982802062,0.817492461673678,0.123381575277778,"mean",251435.315333333,23837.7624797733,14032,5
"457483",234,0,0,1,"No intervention",30.0613,29.843,29.98625,0,0,0,0,0.629287238888889,"mean",0,0,140506,6
"457486",234,0,0.8,1,"IRS only",16.5888041666667,3.05781583333333,0.9672945,1.83278570391667,29.0189555,0.967742065113177,0.993984057882388,0.0183586709166667,"mean",2107590,257517.388114515,140506,6
"457549",234,0.7,0,1,"Pyrethroid LLIN only",28.9976916666667,28.843775,28.676225,0.0996613749999999,1.310025,0.043687523448247,0.0366208130441344,0.596066780555556,"mean",351510.8855,14003.02115575,140506,6
"457550",234,0.7,0,2,"Pyrethroid-PBO LLIN only",25.3059,25.5320333333333,27.5341333333333,0.321832773333333,2.45211666666667,0.081774702294107,-0.000604888912514978,0.522009647777778,"mean",410096.033083333,45219.4356499733,140506,6
"457555",234,0.7,0.8,1,"Pyrethroid LLIN with IRS",16.6042233333333,3.60050666666667,1.238196,1.82620415766667,28.748054,0.958707874442453,0.992513799852675,0.0205525196666667,"mean",2459100.8855,256592.641377113,140506,6
"457556",234,0.7,0.8,2,"Pyrethroid-PBO LLIN with IRS",16.1440666666667,3.06110916666667,0.987705333333333,1.83485566083333,28.9985446666667,0.967061392026901,0.991559046614497,0.0176686852777778,"mean",2517686.03308333,257808.229481048,140506,6
